"timestamp","childID","taskId","grandChildID","taskName","rawDataText","typeOfChangeNew","typeOfChangeDescriptionNew","typeOfChangeOrignal","typeOfChangeDescriptionOriginal","createdByName","createdById","currentAssigneeId","mergedCurrentAssignee","currentAssignee","mergedCurrentAssigneeId","grandChildName","circles","circleIds","aliveStatus","messageType","date","time","taskCompletedAt","taskModifiedAt","parentCircle","accordingToCircle","secondDegreeCircleRelationshipId","secondDegreeCircleRelationshipName","roleType","eventId","projectId","workspaceId","workspaceName","projectName",,
"2018-07-11 10:21:15.844",381610520677972,381610518770678,,"Keep Kitchen Cupboards & Drawers Tidy (multiple)","[EVENT FROM SUB-TASK] unassigned from Juul",3,"UNASSIGN_FROM_ACTOR",3,"UNASSIGN_FROM_ACTOR","Juul",189848323913499,,,,,,"☺ Smooth Operations Roles",11555199602299,"alive","system",2018-07-11,"10:21:15.844",2017-10-12T21:21:15,2018-07-11T08:21:45,"null",,"7963718816247_11555199602299","☺ Alignment Roles_☺ Smooth Operations Roles","role",381610520677972,11555199602299,864733919245,"Springest","☺ Smooth Operations Roles",,
"2017-06-26 16:26:23.185",372994203226655,372994199646485,,"Keep Kitchen Cupboards & Drawers Tidy (multiple)","[EVENT FROM SUB-TASK] duplicated task from https://app.asana.com/0/372772446359990/372772446359990",111,"CHANGE_SUB_ROLE",12,"DESIGN_ROLE","Anne Nynke Jansma",1138104132847331,,,"Juul",,,"☺ Smooth Operations Roles",11555199602299,"alive","system",2017-06-26,"16:26:23.185",2017-07-10T11:14:55,2018-07-11T08:21:37,"null",,"7963718816247_11555199602299","☺ Alignment Roles_☺ Smooth Operations Roles","role",372994203226655,11555199602299,864733919245,"Springest","☺ Smooth Operations Roles",,
"2017-06-26 16:26:23.932",372994203226655,372994199646485,372994204291969,"Keep Kitchen Cupboards & Drawers Tidy (multiple)","[EVENT FROM SUB-TASK] [EVENT FROM SUB-TASK] duplicated task from https://app.asana.com/0/372772446893636/372772446893636",111,"CHANGE_SUB_ROLE",12,"DESIGN_ROLE","Anne Nynke Jansma",1138104132847331,,,"Juul",,"Focus:","☺ Smooth Operations Roles",11555199602299,"alive","system",2017-06-26,"16:26:23.932",2017-07-10T11:14:55,2017-06-26T14:26:23,"null",,"7963718816247_11555199602299","☺ Alignment Roles_☺ Smooth Operations Roles","role",372994203226655,11555199602299,864733919245,"Springest","☺ Smooth Operations Roles",,
"2017-06-26 16:26:24.158",372994203226655,372994199646485,372994204513357,"Keep Kitchen Cupboards & Drawers Tidy (multiple)","[EVENT FROM SUB-TASK] [EVENT FROM SUB-TASK] duplicated task from https://app.asana.com/0/372772446972551/372772446972551",111,"CHANGE_SUB_ROLE",12,"DESIGN_ROLE","Anne Nynke Jansma",1138104132847331,,,"Juul",,"Drawers & Cupboards in kitchen left","☺ Smooth Operations Roles",11555199602299,"alive","system",2017-06-26,"16:26:24.158",2017-07-10T11:14:55,2017-06-26T14:26:24,"null",,"7963718816247_11555199602299","☺ Alignment Roles_☺ Smooth Operations Roles","role",372994203226655,11555199602299,864733919245,"Springest","☺ Smooth Operations Roles",,
"2018-07-11 10:21:06.02",372994203226655,372994199646485,,"Keep Kitchen Cupboards & Drawers Tidy (multiple)","[EVENT FROM SUB-TASK] Unassigned this role, because it is killed.",6,"COMMENT",6,"COMMENT","Juul",189848323913499,,,"Juul",,,"☺ Smooth Operations Roles",11555199602299,"alive","comment",2018-07-11,"10:21:06.020",2017-07-10T11:14:55,2018-07-11T08:21:37,"null",,"7963718816247_11555199602299","☺ Alignment Roles_☺ Smooth Operations Roles","role",372994203226655,11555199602299,864733919245,"Springest","☺ Smooth Operations Roles",,
"2018-07-11 10:21:08.532",372994203226655,372994199646485,,"Keep Kitchen Cupboards & Drawers Tidy (multiple)","[EVENT FROM SUB-TASK] unassigned from Juul",3,"UNASSIGN_FROM_ACTOR",3,"UNASSIGN_FROM_ACTOR","Juul",189848323913499,,,,,,"☺ Smooth Operations Roles",11555199602299,"alive","system",2018-07-11,"10:21:08.532",2017-07-10T11:14:55,2018-07-11T08:21:37,"null",,"7963718816247_11555199602299","☺ Alignment Roles_☺ Smooth Operations Roles","role",372994203226655,11555199602299,864733919245,"Springest","☺ Smooth Operations Roles",,
"2017-04-13 12:14:34.281",318387255486591,318387254159708,,"Keep Kitchen Cupboards & Drawers Tidy (multiple)","[EVENT FROM SUB-TASK] duplicated task from https://app.asana.com/0/257067606226352/257067606226352",111,"CHANGE_SUB_ROLE",12,"DESIGN_ROLE","Debbie",1180554879298750,,,"Juul",,,"☺ Smooth Operations Roles",11555199602299,"alive","system",2017-04-13,"12:14:34.281",2017-06-26T13:08:58,2018-07-11T08:21:23,"null",,"7963718816247_11555199602299","☺ Alignment Roles_☺ Smooth Operations Roles","role",318387255486591,11555199602299,864733919245,"Springest","☺ Smooth Operations Roles",,
"2017-04-13 12:14:34.779",318387255486591,318387254159708,318387255778592,"Keep Kitchen Cupboards & Drawers Tidy (multiple)","[EVENT FROM SUB-TASK] [EVENT FROM SUB-TASK] duplicated task from https://app.asana.com/0/257067606642170/257067606642170",111,"CHANGE_SUB_ROLE",12,"DESIGN_ROLE","Debbie",1180554879298750,,,"Juul",,"Focus:","☺ Smooth Operations Roles",11555199602299,"alive","system",2017-04-13,"12:14:34.779",2017-06-26T13:08:58,2017-04-13T10:14:34,"null",,"7963718816247_11555199602299","☺ Alignment Roles_☺ Smooth Operations Roles","role",318387255486591,11555199602299,864733919245,"Springest","☺ Smooth Operations Roles",,
"2017-04-13 12:14:34.972",318387255486591,318387254159708,318387255791932,"Keep Kitchen Cupboards & Drawers Tidy (multiple)","[EVENT FROM SUB-TASK] [EVENT FROM SUB-TASK] duplicated task from https://app.asana.com/0/257067606846068/257067606846068",111,"CHANGE_SUB_ROLE",12,"DESIGN_ROLE","Debbie",1180554879298750,,,"Juul",,"Drawers & Cupboards in kitchen left","☺ Smooth Operations Roles",11555199602299,"alive","system",2017-04-13,"12:14:34.972",2017-06-26T13:08:58,2017-04-13T10:14:34,"null",,"7963718816247_11555199602299","☺ Alignment Roles_☺ Smooth Operations Roles","role",318387255486591,11555199602299,864733919245,"Springest","☺ Smooth Operations Roles",,
"2018-07-11 10:20:52.289",318387255486591,318387254159708,,"Keep Kitchen Cupboards & Drawers Tidy (multiple)","[EVENT FROM SUB-TASK] Unassigned this role, because it is killed.",6,"COMMENT",6,"COMMENT","Juul",189848323913499,,,"Juul",,,"☺ Smooth Operations Roles",11555199602299,"alive","comment",2018-07-11,"10:20:52.289",2017-06-26T13:08:58,2018-07-11T08:21:23,"null",,"7963718816247_11555199602299","☺ Alignment Roles_☺ Smooth Operations Roles","role",318387255486591,11555199602299,864733919245,"Springest","☺ Smooth Operations Roles",,
